year,month,Kinneret_Level,Rain_Amount
1978,1,-209.833,80.9
1978,2,-209.3275,33.2
1978,3,-209.2169231,64.7
1978,4,-209.294,12.2
1978,5,-209.1875,1.5
1978,6,-209.49,0
1978,7,-209.3,0
1978,8,-209.9,0
1978,9,-209.79,0
1978,10,-209.8728571,19.1
1978,11,-209.9475,3.7
1978,12,-209.7275,60.4
1979,1,-209.985,37.5
1979,2,-210.28,24.3
1979,3,-210.1625,39.4
1979,4,-209.92,12.5
1979,5,-210.406,0
1979,6,-210.336,0
1979,7,-211.1375,0
1979,8,-211.2666667,0
1979,9,-211.2,0
1979,10,-211.4766667,13.3
1979,11,-211.2675,72.2
1979,12,-211.24,222.3
1980,1,-210.5533333,121.8
1980,2,-210.02375,107
1980,3,-209.304,80.9
1980,4,-209.4116667,45.8
1980,5,-209.334,0
1980,6,-209.414,0
1980,7,-209.565,0
1980,8,-209.822,0
1980,9,-209.6525,0
1980,10,-210.1225,16.8
1980,11,-209.955,9.8
1980,12,-210.25,118.9
1981,1,-209.4911111,175.8
1981,2,-209.4133333,83.7
1981,3,-209,31.8
1981,4,-209.554,26.3
1981,5,-208.8725,0
1981,6,-209.318,0
1981,7,-209.3575,0
1981,8,-209.4375,0
1981,9,-209.9525,0
1981,10,-209.66,0.3
1981,11,-210.134,41
1981,12,-209.8225,7.9
1982,1,-210.685,34.1
1982,2,-209.8525,60.6
1982,3,-210.4525,61.3
1982,4,-209.6375,7.2
1982,5,-210.14,9.3
1982,6,-209.95,0
1982,7,-210.1925,0
1982,8,-210.778,0
1982,9,-210.5125,0
1982,10,-211.372,3.2
1982,11,-210.9833333,78.8
1982,12,-210.864,109.5
1983,1,-210.2490909,120.4
1983,2,-210.6783333,134.6
1983,3,-209.6,81.8
1983,4,-209.892,20.8
1983,5,-209.526,8
1983,6,-209.4925,0
1983,7,-210.1466667,0
1983,8,-209.79,0
1983,9,-210.385,0
1983,10,-210.164,0
1983,11,-210.46,64.8
1983,12,-210.38,13.6
1984,1,-210.0833333,88.5
1984,2,-210.305,30.3
1984,3,-209.9657143,74.3
1984,4,-209.4075,63.8
1984,5,-209.57,0
1984,6,-209.7316667,0
1984,7,-210.065,0
1984,8,-210.0625,0
1984,9,-210.5966667,0
1984,10,-210.44,21
1984,11,-210.4225,80
1984,12,-210.775,67
1985,1,-210.702,44
1985,2,-210.0866667,113.3
1985,3,-209.872,9.2
1985,4,-210.1571429,45.3
1985,5,-209.9116667,0
1985,6,-210.4,0
1985,7,-210.2466667,0
1985,8,-210.655,0
1985,9,-211.0075,0
1985,10,-210.6475,6.9
1985,11,-211.372,10.4
1985,12,-211.175,49
1986,1,-211.5763636,83.1
1986,2,-211.186,81.3
1986,3,-211.595,17.6
1986,4,-211.356,16.5
1986,5,-211.46,35.9
1986,6,-211.2233333,0
1986,7,-211.63,0
1986,8,-211.8771429,0
1986,9,-211.9183333,0
1986,10,-212.0683333,39.3
1986,11,-211.7571429,165.5
1986,12,-211.8085714,79.7
1987,1,-210.8357143,44.6
1987,2,-210.705,27.9
1987,3,-209.9753846,62.3
1987,4,-210.1316667,5.4
1987,5,-209.54,0
1987,6,-210.66,0
1987,7,-209.93,0
1987,8,-210.195,0
1987,9,-210.746,0
1987,10,-210.3633333,21.5
1987,11,-210.722,6
1987,12,-210.56,127.1
1988,1,-209.885,93.4
1988,2,-209.6533333,91.6
1988,3,-209.126,69.8
1988,4,-209.156,12.2
1988,5,-208.992,0
